QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,Product_SK,PRODUCTCODE,Customer_SK,COUNTRY,DEALSIZE
30,95.7,2,2871,Shipped,1,2,2003,Motorcycles,95,1,S10_1678,1,USA,Small
34,81.35,5,2765.9,Shipped,2,5,2003,Motorcycles,95,2,S10_1678,2,France,Small
41,94.74,2,3884.34,Shipped,3,7,2003,Motorcycles,95,3,S10_1678,3,France,Medium
45,83.26,6,3746.7,Shipped,3,8,2003,Motorcycles,95,4,S10_1678,4,USA,Medium
49,100,14,5205.27,Shipped,4,10,2003,Motorcycles,95,5,S10_1678,5,USA,Medium
36,96.66,1,3479.76,Shipped,4,10,2003,Motorcycles,95,6,S10_1678,6,USA,Medium
29,86.13,9,2497.77,Shipped,4,11,2003,Motorcycles,95,7,S10_1678,7,France,Small
48,100,1,5512.32,Shipped,4,11,2003,Motorcycles,95,8,S10_1678,8,Norway,Medium
22,98.57,2,2168.54,Shipped,4,12,2003,Motorcycles,95,9,S10_1678,9,USA,Small
41,100,14,4708.44,Shipped,1,1,2004,Motorcycles,95,10,S10_1678,10,France,Medium
37,100,1,3965.66,Shipped,1,2,2004,Motorcycles,95,11,S10_1678,11,Australia,Medium
23,100,7,2333.12,Shipped,2,4,2004,Motorcycles,95,12,S10_1678,12,USA,Small
28,100,2,3188.64,Shipped,2,5,2004,Motorcycles,95,13,S10_1678,13,USA,Medium
34,100,2,3676.76,Shipped,2,6,2004,Motorcycles,95,14,S10_1678,14,USA,Medium
45,92.83,1,4177.35,Shipped,3,7,2004,Motorcycles,95,15,S10_1678,15,France,Medium
36,100,6,4099.68,Shipped,3,8,2004,Motorcycles,95,16,S10_1678,16,USA,Medium
23,100,9,2597.39,Shipped,3,9,2004,Motorcycles,95,17,S10_1678,17,Finland,Small
41,100,5,4394.38,Shipped,4,10,2004,Motorcycles,95,18,S10_1678,18,Norway,Medium
46,94.74,1,4358.04,Shipped,4,11,2004,Motorcycles,95,19,S10_1678,19,USA,Medium
42,100,1,4396.14,Shipped,4,11,2004,Motorcycles,95,20,S10_1678,20,USA,Medium
41,100,9,7737.93,Shipped,4,11,2004,Motorcycles,95,21,S10_1678,21,Austria,Large
20,72.55,13,1451,Shipped,4,12,2004,Motorcycles,95,22,S10_1678,22,Australia,Small
21,34.91,12,733.11,Shipped,1,2,2005,Motorcycles,95,23,S10_1678,23,France,Small
42,76.36,4,3207.12,Shipped,1,3,2005,Motorcycles,95,24,S10_1678,24,USA,Medium
24,100,7,2434.56,Shipped,2,4,2005,Motorcycles,95,25,S10_1678,25,UK,Small
66,100,2,7516.08,Disputed,2,5,2005,Motorcycles,95,26,S10_1678,26,Spain,Large
26,100,11,5404.62,Shipped,1,1,2003,Classic Cars,214,27,S10_1949,27,Norway,Medium
29,100,1,7209.11,Shipped,1,3,2003,Classic Cars,214,28,S10_1949,28,Sweden,Large
38,100,11,7329.06,Shipped,2,5,2003,Classic Cars,214,29,S10_1949,29,Spain,Large
37,100,11,7374.1,Shipped,3,7,2003,Classic Cars,214,30,S10_1949,30,USA,Large
45,100,8,10993.5,Shipped,3,9,2003,Classic Cars,214,31,S10_1949,31,Singapore,Large
21,100,1,4860.24,Shipped,4,10,2003,Classic Cars,214,32,S10_1949,32,USA,Medium
34,100,4,8014.82,Shipped,4,11,2003,Classic Cars,214,33,S10_1949,33,Australia,Large
23,100,8,5372.57,Shipped,4,11,2003,Classic Cars,214,34,S10_1949,34,USA,Medium
42,100,11,7290.36,Shipped,4,11,2003,Classic Cars,214,35,S10_1949,35,France,Large
47,100,6,9064.89,Shipped,4,12,2003,Classic Cars,214,36,S10_1949,36,Canada,Large
35,100,3,6075.3,Shipped,1,1,2004,Classic Cars,214,37,S10_1949,37,USA,Medium
29,100,2,6463.23,Shipped,1,3,2004,Classic Cars,214,38,S10_1949,38,USA,Medium
34,100,9,6120.34,Shipped,2,5,2004,Classic Cars,214,39,S10_1949,39,USA,Medium
32,100,6,7680.64,Shipped,2,6,2004,Classic Cars,214,40,S10_1949,40,Japan,Large
21,100,9,4905.39,Shipped,3,7,2004,Classic Cars,214,41,S10_1949,41,Australia,Medium
34,100,2,8014.82,Shipped,3,8,2004,Classic Cars,214,42,S10_1949,42,Italy,Large
37,100,11,7136.19,Shipped,3,9,2004,Classic Cars,214,43,S10_1949,43,Sweden,Large
47,100,6,10172.7,Shipped,4,10,2004,Classic Cars,214,44,S10_1949,44,France,Large
48,100,3,11623.7,Shipped,4,10,2004,Classic Cars,214,45,S10_1949,45,USA,Large
40,100,1,6000.4,Shipped,4,11,2004,Classic Cars,214,46,S10_1949,46,USA,Medium
26,100,3,3003,Shipped,4,11,2004,Classic Cars,214,47,S10_1949,47,USA,Medium
30,100,1,3944.7,Shipped,4,11,2004,Classic Cars,214,48,S10_1949,48,Australia,Medium
32,100,10,5691.84,Shipped,4,12,2004,Classic Cars,214,49,S10_1949,49,USA,Medium
41,100,2,4514.92,Shipped,1,1,2005,Classic Cars,214,50,S10_1949,50,USA,Medium
36,100,3,8254.8,Shipped,1,2,2005,Classic Cars,214,51,S10_1949,51,USA,Large
24,100,4,2416.56,Shipped,1,3,2005,Classic Cars,214,52,S10_1949,52,Australia,Small
23,100,9,4140.23,Shipped,2,5,2005,Classic Cars,214,53,S10_1949,53,Canada,Medium
50,100,6,12001,In Process,2,5,2005,Classic Cars,214,54,S10_1949,54,Spain,Large
39,99.91,5,3896.49,Shipped,1,2,2003,Motorcycles,118,55,S10_2016,55,USA,Medium
29,96.34,3,2793.86,Shipped,2,4,2003,Motorcycles,118,56,S10_2016,56,Australia,Small
27,100,5,3307.77,Shipped,3,7,2003,Motorcycles,118,57,S10_2016,57,France,Medium
37,100,9,5192.95,Shipped,3,8,2003,Motorcycles,118,58,S10_2016,58,USA,Medium
37,100,17,5016.83,Shipped,4,10,2003,Motorcycles,118,59,S10_2016,59,USA,Medium
27,100,4,3660.93,Shipped,4,10,2003,Motorcycles,118,60,S10_2016,60,USA,Medium
42,100,12,4695.6,Shipped,4,11,2003,Motorcycles,118,61,S10_2016,61,France,Medium
38,96.34,4,3660.92,Shipped,4,11,2003,Motorcycles,118,62,S10_2016,62,Norway,Medium
24,100,5,3025.92,Shipped,4,12,2003,Motorcycles,118,63,S10_2016,63,USA,Medium
23,100,2,3009.09,Shipped,1,1,2004,Motorcycles,118,64,S10_2016,64,Japan,Medium
47,100,4,5422.39,Shipped,1,2,2004,Motorcycles,118,65,S10_2016,65,Australia,Medium
22,100,1,2852.08,Shipped,2,4,2004,Motorcycles,118,66,S10_2016,66,USA,Small
44,100,5,5756.52,Shipped,2,5,2004,Motorcycles,118,67,S10_2016,67,USA,Medium
40,100,5,4472,Shipped,2,6,2004,Motorcycles,118,68,S10_2016,68,USA,Medium
22,100,4,2904.44,Shipped,3,7,2004,Motorcycles,118,69,S10_2016,69,France,Small
47,100,9,6484.59,Shipped,3,8,2004,Motorcycles,118,70,S10_2016,70,USA,Medium
39,96.34,1,3757.26,Shipped,3,9,2004,Motorcycles,118,71,S10_2016,71,France,Medium
34,100,2,4043.96,Shipped,4,10,2004,Motorcycles,118,72,S10_2016,72,USA,Medium
